time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-10 00:00:00+00:00,5,2,23,3
2024-06-11 00:00:00+00:00,1,1,9,5
2024-06-12 00:00:00+00:00,2,2,76,5
2024-06-13 00:00:00+00:00,3,3,60,7
2024-06-14 00:00:00+00:00,0,0,29,8
2024-06-15 00:00:00+00:00,1,1,5,3
2024-06-16 00:00:00+00:00,0,0,2,1
2024-06-17 00:00:00+00:00,1,1,38,7
2024-06-18 00:00:00+00:00,5,2,16,4
2024-06-19 00:00:00+00:00,3,3,8,5
2024-06-20 00:00:00+00:00,1,1,18,3
2024-06-21 00:00:00+00:00,0,0,31,3
2024-06-22 00:00:00+00:00,0,0,36,1
2024-06-23 00:00:00+00:00,1,1,0,0
2024-06-24 00:00:00+00:00,0,0,20,7
2024-06-25 00:00:00+00:00,0,0,53,4
2024-06-26 00:00:00+00:00,3,2,45,10
2024-06-27 00:00:00+00:00,0,0,18,6
2024-06-28 00:00:00+00:00,0,0,19,7
2024-06-29 00:00:00+00:00,0,0,9,4
2024-06-30 00:00:00+00:00,4,2,2,2
2024-07-01 00:00:00+00:00,4,3,7,1
2024-07-02 00:00:00+00:00,5,2,115,8
2024-07-03 00:00:00+00:00,5,2,21,3
2024-07-04 00:00:00+00:00,0,0,98,10
2024-07-05 00:00:00+00:00,0,0,17,5
2024-07-07 00:00:00+00:00,0,0,11,1
2024-07-08 00:00:00+00:00,2,2,61,6
2024-07-09 00:00:00+00:00,0,0,24,7
2024-07-10 00:00:00+00:00,5,2,50,11
2024-07-11 00:00:00+00:00,5,3,21,6
2024-07-12 00:00:00+00:00,4,1,10,4
2024-07-14 00:00:00+00:00,5,2,41,1
2024-07-15 00:00:00+00:00,6,1,8,4
2024-07-16 00:00:00+00:00,1,1,48,4
2024-07-17 00:00:00+00:00,3,2,5,3
2024-07-18 00:00:00+00:00,4,2,54,12
2024-07-19 00:00:00+00:00,2,1,8,4
2024-07-20 00:00:00+00:00,3,1,61,4
2024-07-21 00:00:00+00:00,12,6,34,2
2024-07-22 00:00:00+00:00,0,0,33,8
2024-07-23 00:00:00+00:00,0,0,41,7
2024-07-24 00:00:00+00:00,9,6,21,7
2024-07-25 00:00:00+00:00,11,9,86,5
2024-07-26 00:00:00+00:00,0,0,44,3
2024-07-27 00:00:00+00:00,1,1,0,0
2024-07-28 00:00:00+00:00,0,0,12,2
2024-07-29 00:00:00+00:00,0,0,4,2
2024-07-30 00:00:00+00:00,1,1,5,3
2024-07-31 00:00:00+00:00,2,2,2,1
2024-08-01 00:00:00+00:00,1,1,10,3
2024-08-02 00:00:00+00:00,4,2,0,0
2024-08-04 00:00:00+00:00,4,3,5,1
2024-08-05 00:00:00+00:00,5,3,23,5
2024-08-06 00:00:00+00:00,1,1,7,3
2024-08-07 00:00:00+00:00,0,0,17,2
2024-08-08 00:00:00+00:00,2,2,3,2
2024-08-09 00:00:00+00:00,0,0,65,3
2024-08-10 00:00:00+00:00,4,2,28,3
2024-08-11 00:00:00+00:00,0,0,5,2
2024-08-12 00:00:00+00:00,0,0,8,5
2024-08-13 00:00:00+00:00,4,3,11,3
2024-08-14 00:00:00+00:00,2,2,8,4
2024-08-15 00:00:00+00:00,0,0,1,1
2024-08-16 00:00:00+00:00,2,2,2,1
2024-08-17 00:00:00+00:00,4,1,15,2
2024-08-18 00:00:00+00:00,0,0,4,2
2024-08-19 00:00:00+00:00,0,0,1,1
